Microservice,Branch,name,number
cataloge,master,code_smells,37
cataloge,master,bugs,0
cataloge,master,vulnerabilities,0
cataloge,master,coverage,0.0
cataloge,master,duplicated_lines_density,2.7
cataloge,master,security_hotspots,1
ecommerce:checkout-api,master,vulnerabilities,0
ecommerce:checkout-api,master,code_smells,25
ecommerce:checkout-api,master,security_hotspots,1
ecommerce:checkout-api,master,coverage,0.0
ecommerce:checkout-api,master,bugs,0
ecommerce:checkout-api,master,duplicated_lines_density,5.9
ads-api,master,vulnerabilities,0
ads-api,master,security_hotspots,13
ads-api,master,code_smells,129
ads-api,master,duplicated_lines_density,1.2
ads-api,master,coverage,49.1
ads-api,master,bugs,74
order-tracking-api,master,duplicated_lines_density,0.0
order-tracking-api,master,security_hotspots,0
order-tracking-api,master,bugs,0
order-tracking-api,master,coverage,64.8
order-tracking-api,master,vulnerabilities,0
order-tracking-api,master,code_smells,34
shop-cart,master,duplicated_lines_density,6.2
shop-cart,master,security_hotspots,1
shop-cart,master,coverage,6.2
shop-cart,master,bugs,0
shop-cart,master,vulnerabilities,0
shop-cart,master,code_smells,317
timewindow-api,master,duplicated_lines_density,2.7
timewindow-api,master,code_smells,15
timewindow-api,master,security_hotspots,2
timewindow-api,master,coverage,46.8
timewindow-api,master,vulnerabilities,0
timewindow-api,master,bugs,0
ads-api,master,bugs,74
ads-api,master,coverage,49.1
ads-api,master,vulnerabilities,0
ads-api,master,code_smells,129
ads-api,master,security_hotspots,13
ads-api,master,duplicated_lines_density,1.2
ms-authenticator,master,coverage,3.3
ms-authenticator,master,code_smells,20
ms-authenticator,master,bugs,0
ms-authenticator,master,vulnerabilities,0
ms-authenticator,master,duplicated_lines_density,2.0
ms-authenticator,master,security_hotspots,2
ms-geo,master,code_smells,17
ms-geo,master,bugs,0
ms-geo,master,security_hotspots,2
ms-geo,master,duplicated_lines_density,6.8
ms-geo,master,vulnerabilities,0
ms-geo,master,coverage,16.2
ms-user,master,coverage,21.0
ms-user,master,security_hotspots,3
ms-user,master,bugs,0
ms-user,master,vulnerabilities,0
ms-user,master,code_smells,45
ms-user,master,duplicated_lines_density,0.0
notification-api,master,coverage,59.1
notification-api,master,vulnerabilities,0
notification-api,master,code_smells,72
notification-api,master,bugs,7
notification-api,master,duplicated_lines_density,1.1
notification-api,master,security_hotspots,4
vendor-coverage,master,security_hotspots,0
vendor-coverage,master,vulnerabilities,0
vendor-coverage,master,bugs,0
vendor-coverage,master,duplicated_lines_density,0.0
vendor-coverage,master,code_smells,1
vendor-coverage,master,coverage,0.0
ms-search-bar,main,vulnerabilities,0
ms-search-bar,main,coverage,0.0
ms-search-bar,main,code_smells,22
ms-search-bar,main,bugs,0
ms-search-bar,main,security_hotspots,0
ms-search-bar,main,duplicated_lines_density,0.0
